edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,director,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2017,movie ,"European Méliès Competition, Hungarian Focus",,LOOP by Isit Madarász,Isti Madarász,2016,Hungary,Belgian,European Méliès Competition,"Dénes Szaraz, Dorina Martinovics,
Zsolt Anger, Géza Hegedüs D., Zsuzsa
Malnai, Ferenc Elek",,,,,,,95',"Crime, Thriller, Science-Fiction",Isti Madarász,,OK,"https:,,www.imdb.com,title,tt4118932,?ref_=fn_tt_tt_3",,,,,"Wanting to bypass your employer when you’re in the business of
controlled substances, is already a bad idea. When Adam discovers
that Anna, his girlfriend and partner in crime, is expecting a child,
our gallant knight doesn’t postpone his suicide mission for another
nine months. He decides to finish the job on his own. Even more,
he breaks up with Anna with a VHS recording. Only ten minutes
after he has recorded the tape, he runs into Anna on the street. Her
face is covered in blood and she has the tape in her hand. Instead
of punching him in the face, she’s overjoyed to see him. Anna tells
Adam that she saw him getting shot on the tape. She takes a few
steps backwards and gets killed by a passing car. Adam flees from
the crime scene and hides in his home, where he decides to watch
the tape to the end. He discovers that the images are live, as if they
are some mirror unlocking a new reality. Then there are three knocks
on the door. It’s Anna!
Loop, made by the same production company responsible for Nimrod
Antall’s Kontroll (BIFFF 2005) is a rare Hungarian excursion into science
fiction. It’s a real brain-buster, consisting of many layers upon
layers. Loop, written and directed by Isti Madarasz, will remind you
of Nacho Vigalondo’s Timecrimes or, more recently, The Infinite Man,
our 2015 Silver Raven. You already guessed how late it is. it’s time for
time loops and paradoxes!"
2017,movie ,"European Méliès Competition, Critics Selection",,MONOLITH,Ivan Silvestrini,2016,"Italy , USA",Belgian,"European Méliès Competition, Critics Selection","Katrina Bowden, Brandon W. Jones,
Justine Wachsberger, Katherine Kelly Lang,
Andrea Ellsworth, Jay Hayden, Damon Dayoub",,,,,,,83',"Drama, Thriller",Ivan Silvestrini,,OK,"https:,,www.imdb.com,title,tt4711924,?ref_=nv_sr_srsg_0",,,,,"Sandra is locked outside her Monolith, the safest car in the world,
built to protect her loved ones from any threat. Seated behind her
and tied to his seat, David, her 2 year old son, is playing with her
cellphone. Suddenly Sandra runs over a deer, stops and gets out of
the car. David, by mistake, locks down Monolith’s safety closure from
the cellphone screen. Around them, the desert stretching for miles
and miles. Sandra has to set her baby free. She has to find a way to
crack open that steel shell and she is ready for anything, even risking
her own life. Nightfall will bring darkness and sunrise will turn the
car into an oven. Sandra has little time left, and she’s entirely on her
own. In the middle of nowhere, against all odds, beasts and without
water… will a Mother be stronger than a Monolith ?
Forgetting your keys in your locked car is a problem that millions of
people must have had. Director Ivan Silvestrini saw a lot of potential in
this common mistake and has turned it into a nail-biting thriller that
explores our relationship to the hyper-protective tech environment in
which we live and that increasingly overrules our own choices. Right
in the middle of the ultimate parental nightmare, we find the phenomenal
Katrina Bowden (Tucker and Dale VS Evil), ready to tear out
the battery of Lilith, voice of the Monolith, interpreted by Katherine
Kelly Logan, husband collector in The Bold and the Beautiful."
2017,movie ,European Méliès Competition,,NAILS,Dennis Bartok,2016,Ireland,International,European Méliès Competition,"Shauna Macdonald, Steve Wall, Ross
Noble, Leah McNamara, Charlotte Bradley,
Dennis Bartok",,,,,,,85',"Horror, Mystery",Dennis Bartok,,OK,"https:,,www.imdb.com,title,tt4695098,?ref_=nv_sr_srsg_3",,,,,"Dana Milgrom is a track coach, who having survived a near-death
car accident, finds herself completely paralyzed and trapped inside
her own body. While recovering, she becomes convinced that some
evil presence exists inside her hospital room and is intent on killing
her. No one believes her; not even her own family, who think she’s
experienced a mental breakdown. However, Dana soon realizes she
may not be the only target. As the hauntings become more disturbing
and violent Dana’s life is increasingly at risk; as well as the person she
cares most about: her teenage daughter, Gemma.
We owe them Wake Wood, Stitches, The Canal and, more recently,
Let Us Prey (Silver Méliès BIFFF 2014). Our friends, producers John
McDonnell and Brendan McCarthy, have a new horror treat for us, directed
by Dennis Bartok. This talented screenwriter, who has already
worked with Sean S. Cunningham and Joe Dante, literally puts the
nails in nail-biting tension. Chances are you’ll be left with bleeding
stumps after having witnessed the ordeal Shauna McDonald (The
Descent) has been put through."
2017,movie ,European Méliès Competition,,ORBITER 9,Hatem Khraiche,2017,Spain,European,European Méliès Competition,"Clara Lago, Alex Gonzalez, Belen
Rueda, Andrés Parra, Kristina Lilley, John
Alex Castillo",,,,,,,95',"Drama, Romance, Science-Fiction",Hatem Khraiche,,OK,"https:,,www.imdb.com,title,tt3469798,?ref_=nv_sr_srsg_0",,,,,"Helena was born in deep space on a colony vessel piloted by her
parents. While she was still a kid, an oxygen leak drastically reduced
their chances of survival. There wouldn’t be enough air to breathe
to get all three of them to their destination. Her parents sacrificed
themselves so that Helena would live. They abandoned ship and
send the distress signal for a rescue mission. In the years that have
since passed, Helena has grown up to become a beautiful young
woman, but apart from her mother and father, she has never met
any other human being. And now rescue has finally arrived in the
person of Alex, an engineer who’ll fix the ship so that it can reach
its destination. The repairs will take two days, after which Helena
will again be all alone. She manages to get everything she can out
of this brief encounter with another person. And then Alex departs
and that’s the end of it. Or is it?
Orbiter 9 is the feature film debut of Hatem Khraiche, an awardwinning
director of short features, such as the Goya nominee Machu
Picchu. He masterfully blends the scifi concept with authentic human
emotions, weaving the interpersonal stakes of his protagonists with
repercussions much larger than themselves. These signature themes
and conflicts are brilliantly reflected in Orbiter 9, which will draw
audiences deep into its sweeping, romantic and haunting story. Starring
Clara Lago (Extinction, At The End of The Tunnel), Alex Gonzalez
(X-Men: First Class, Scorpion in Love) and Belen Rueda (The Orphanage,
The Sea Inside, Julia’s Eyes)."
2017,movie ,"European Méliès Competition, Critics Selection",,REPLACE,Norbert Keil,2017,"Germany , Canada",World,"European Méliès Competition, Critics Selection","Rebecca Forsythe, Lucie Aron,
Barbara Crampton, Sean Knopp, Adnan
Maral, Agnès Kiyomi Decker, J. David Hinze,
Teresa Gluck",,,,,,,101',"Horror, Thriller, Science-Fiction",Norbert Keil,,OK,"https:,,www.imdb.com,title,tt5563862,?ref_=nv_sr_srsg_4",,,,,"Kira Mabon lives her life to the fullest. She is young, beautiful, happy.
Until one morning she discovers a spot of dried-up skin on her hand. Terrified
by the decay of her body, Kira is desperately searching for a cure. But
the disease keeps spreading, and nobody seems to be able to help. Devastated,
Kira finds some comfort in her neighbor, the very sensual Sophia.
Attracted by her bubbly and no-nonsense attitude, she starts falling in love
with Sophia and her perfect, flawless skin. As the disease progresses, Kiras
options run out. But a terrifying discovery changes everything. She is able
to replace her own dried-up skin with healthy skin from somebody else.
Kira seems to have found a way to stay young and beautiful: replacing her
skin… by sacrificing innocent lives. But the disease keeps coming back.
And the danger of being discovered by the police or her newly-found lover
Sophia is getting bigger all the time. Kira has to choose. Continue taking
the skin of other girls, or face the inevitable decay of her body.
German director Norbert Keil, author of the multi-award winning Bathtub
To Happiness, has crafted a chilling body horror tale for the 21st Century.
Replace is all about fear, fear of old age, the decay of your body and the
inevitability of death. Our protagonist has to bend the rules and even
break them. How much of her morality is she willing to sacrifice to be
young and beautiful? And is that even necessary for her to be content?
The question inherent is whether our society imposes a perfect image
of ourselves onto ourselves or if that image is something that already
exist inside our head? Watch out for the legendary Barbara Crampton
(Re-Animator, From Beyond, Beyond The Gates) as the director of
a revolutionary pharmaceutical company. And you should
know that the script was written by Keil and our good
friend Richard Stanley (Hardware, Dust Devil) !"
2017,movie ,European Méliès Competition,,SMALL TOWN KILLERS,Ole Bornedal,2016,Denmark,Belgian,European Méliès Competition,"Ulrich Thomsen, Nicolas Bro, Mia
Lyhne, Lene Maria Christensen, Marcin
Dorocinski, Gwen Taylor, Soren Malling",,,,,,,90',"Drama, Crime, Comedy",Ole Bornedal,,OK,"https:,,www.imdb.com,title,tt5458566,?ref_=nv_sr_srsg_0",,,,,"Ib and Edward, two tradesmen, are tired of their lifeless marriages
and dream of living the good life from the stash of money they’ve
earned moonlighting for years. After a huge fight with their wives,
Gritt and Ingrid, the two men get drunk and hire a Russian contract
killer to do a hit on their spouses. But they have badly underestimated
their wives. This becomes the start of an absurd journey where Ib and
Edward to their own horror end up at the top of a kill list.
For seven long years we anxiously awaited the return of Ole Bornedal
to the BIFFF after Deliver us From Evil! Well, he’s finally back with
the deliciously dark Small Town Killers. If you think the story’s a bit
lighter than his previous films, rest assured: Danish humor is still as
ferocious as ever, especially when you can count on tenors such as
Ulrich Thomsen (Adam’s Apples, Festen, The Thing), Nicolas Bro (Men
& Chicken, War Horse) and Soren Malling, who already came to say
hi last year with Men & Chicken."
2017,movie ,"European Méliès Competition, Hungarian Focus",,THE WHITE KING,"Alex Helfrecht, Jörg Tittel",2016,"UK , Germany , Hungary , Sweden",Belgian,European Méliès Competition,"Lorenzo Allchurch, Agyness Deyn,
Olivia Williams, Jonathan Pryce, Greta
Scacchi, Olafur Darri Olafsson, Fiona Shaw,
Clare-Hope Ashitey, Ross Partridge, Derek
de Lint",,,,,,,89',"Drama, Science-Fiction","Alex Helfrecht, Jörg Tittel",,OK,"https:,,www.imdb.com,title,tt4211312,?ref_=fn_al_tt_1",,,,,"When you are twelve years old, you like to play games, go on a
pick nick with your parents and enjoy those precious times without
hesitation. But when you’re living in a dystopian future that resembles
a lot like a version of capitalist communism, you know that those moments
will not last long. Djata gets his first life lesson when his father
is forced to go to “work” at the military office and never comes back.
After a couple of months that feel like years to him, Djata decides to
enroll in the local branch of the fascist police, because that is the best
a kid at his age can get. But when you’ve inherited a bit of rebel DNA,
you don’t easily fit in with the other brainwashed boys. Before they
took his dad away, he passed on a secret to Djata that could change
everything. But will it be enough to break free from a regime that
doesn’t like secrets?
This adaptation of György Dragoman’s The White King is a strong
warning against what society could look like if we put too much authoritarian
strongmen in power (we’re not giving any names, but you
know who we’re talking about). The dystopian future created by Alex
Helfrecht and Jörg Tittel has a disturbing resemblance with many
things we already see today. Thanks to a wonderful cast, among
whom Jonathan Pryce (Brazil), Fiona Shaw (Harry Potter) and Greta
Scacchi (The Player), we get a glimpse of what could be in store for
us. And guess where Jörg Tittel, who was born in Belgium, got his
first movie thrills? At the BIFFF, of course!"
2017,movie ,7th Orbit Competition,,CHILDREN OF THE NIGHT,Andrea De Sica,2017,"Italy , Belgium",International,7th Orbit Competition,"Vincenzo Crea, Ludovico Succio,
Yulia Sobol, Fabrizio Rongione",,,,,,,85',"Drama, Thriller",Andrea De Sica,,OK,"https:,,www.imdb.com,title,tt6000744,?ref_=nv_sr_srsg_4",,,,,"17 years-old Giulio is sent by his mother to a boarding school for
difficult offspring of rich families. The institution is sort of a “golden
prison”, isolated in the Alps, to which inadequate parents delegate
the task of educating the ruling class of the future. In this cold and
ghastly place the boys are cut off from everything. Even the use of
cell phones and the internet is limited to a few minutes per day.
Adhering to the strict rules of the boarding school is hard, but Giulio
finds a good friend in Edoardo, who is maybe a little crazy, but who
seems the smartest of all. They find out that security becomes more
relaxed at night and they start running away to a nightclub in the
middle of the woods. There they meet Elena, a young prostitute
whose destiny will be unforgettably linked to theirs. The night is a
space of freedom, of new and perturbing experiences for Giulio and
Edoardo. But what they don’t know is that their transgressions are
part of the educational program of the school.
Andrea De Sica, the grandson of legenday director Vittorio De Sica, has
already directed quite a few documentaries and short films. Add to that
that he has also worked as an assistant-director for the likes of Bernardo
Bertolucci and Ferzan Ozpetek, and you can hardly say that he started
filming his feature debut from nothing. Children of the Night is at the
same time a methaphore about growing up, a social comment and a
gruesome fairytale. This Italian-Belgian co-production also
stars Belgian’s own Fabrizio Rongione (The Kid With The
Bike, Two Days, One Night) in a very ambiguous part."
2017,movie ,"7th Orbit Competition, Critics Selection",,EGOMANIAC,Kate Shenton,2016,UK,Belgian,"7th Orbit Competition, Critics Selection","Nic Lamont, Laurence R. Harvey,
David Wayman, Adam Rhys-Davies, Dan
Palmer, Simeon Willis, Oliver Tilney",,,,,,,72',"Comedy, Horror",Kate Shenton,,OK,"https:,,www.imdb.com,title,tt5554998,?ref_=nv_sr_srsg_0",,,,,"After a documentary and a short film that was seen by at least
three people not involved in the picture, Catherine Sweeney is ready
to go to second base: a feature film. Unfortunately, her epic project
of a zombie scifi romance requires some compromises. Catherine is
obliged to work with producers who have as much artistic fiber as
an Ikea carpet. Dewey, for example, is ready to step into the project
if Catherine adds a talking dog. Nathan, another deceitful fundraiser,
demolishes her dream casting and imposes “bankable” faces. Already
stuck with that damn dog she has to fit into the film somehow, Catherine
sees her romantic lead transformed into an obese seal with the
looks of a stuffed carp. But he’ll bring in soooo much money. Besides
the dog now having to become a 3-D mod for the Chinese market,
Catherine’s image also needs to be glamorized. Hence the photoshoot
of her in SM attire with a chainsaw. This Faustian deal is slowly
but inevitably putting her on the brink of a psychotic breakdown.
Kate Shenton is no unknown to genre aficionados. In 2013 she
unleashed On Tender Hooks, a docu fiction about a very obscure
subculture in which people loved to dangle from flesh hooks. In
Egomaniac she settles her score with the film industry. The artist
is no more than a mere interchangeable subcontractor oblivious to
the commercial strategic marketing dialect of the decision makers.
The result is a movie in a movie in which the script starts to
resemble reality or is it the other way around?"
2017,movie ,7th Orbit Competition,,THE EYES OF MY MOTHER,Nicolas Pesce,2016,USA,Belgian,7th Orbit Competition,"Diana Agostini, Olivia Bond, Will
Brill, Joey Curtis-Green, Flora Diaz, Kika
Magalhaes, Paul Nazak, Clara Wong",,,,,,,76',"Drama, Thriller, Horror",Nicolas Pesce,,OK,"https:,,www.imdb.com,title,tt5225338,?ref_=nv_sr_srsg_0",,,,,"In their secluded farmhouse, a mother, formerly a surgeon in
Portugal, teaches her daughter, Francisca, to understand anatomy and
be unfazed by death. One afternoon, a mysterious visitor horrifyingly
shatters the idyll of Francisca’s family life, deeply traumatizing the
young girl, but also awakening some unique curiosities. Though she
clings to her increasingly reticent father, Francisca’s loneliness and
scarred nature converge years later when her longing to connect with
the world around her takes on a distinctly dark form.
Shot in crisp black and white, the haunting, and at times disturbing,
visual compositions of The Eyes of my Mother evoke its protagonist’s
isolation and illuminate her deeply unbalanced worldview. Genreinflected,
but so strikingly unique as to defy categorization, writer/
director Nicolas Pesce’s assured feature debut allows us only an elliptical
presence in Francisca’s world, guiding our imaginations to
follow her into peculiar, secret places."
2017,movie ,7th Orbit Competition,,HIDDEN RESERVES,Valentin Hitz,2016,"Austria , Switzerland , Germany",Belgian,7th Orbit Competition,"Clemens Schick, Lena Lauzemis,
Daniel Olbrychski, Markus Allram, Ilhami
Arsian, Sasa Barbul, Stipe Erceg",,,,,,,96',Science-Fiction,Valentin Hitz,,OK,"https:,,www.imdb.com,title,tt4734102,?ref_=nv_sr_srsg_0",,,,,"In the near future, death has become a disease just like any other.
The state has found a new way to extract money from its citizens,
even when they are on the verge of leaving for the hereafter. We’re
talking about “death insurance” and the ambitious Vincent Bauman is
trying to sell as many as possible. His slick sales talk is in fact a subtle
form of blackmail. Eternal peace is something you’ll have to pay for
and those who aren’t able to afford it or who are behind on their
installments, risk ending up in gigantic freezers where their body is
kept alive to serve as data storage, a battery, an incubator or an organ
bank. Bauman’s zeal knows no limits, until he meets Lisa, a passionate
opponent of this institutionalized necrophilia. Will she be able to
turn him or will he use her to climb higher up the corporate ladder?
Since he was a kid, director Valentin Hitz has been fascinated by the
strange and disturbing idea of not having the right to die. With the
currents breakthroughs in genetics and technology, this might probably
be only a decade away. Hidden Reserves is a stylistic dystopian
tour de force with a terrific Clemens Schick (Point Break, Casino Royale,
Ennemy at the Gates) as Vincent Bauman."
2017,movie ,7th Orbit Competition,,HOLY BIKER,Homero Olivetto,2016,Brazil,Belgian,7th Orbit Competition,"Cauã Reymond, Humberto Martins,
Sophie Charlotte, Luisa Arraes, Julio
Andrade, Silvia Buarque, Jesuíta Barbosa,
Jonathan Azevedo",,,,,,,87',"Drama, Adventure, Action",Homero Olivetto,,OK,"https:,,www.imdb.com,title,tt5026038,?ref_=nv_sr_srsg_0",,,,,"In a not-so-distant future, where some idiots think that global
warming is a Chinese conspiracy, Brazil suffers from a blistering
drought. With reality abandoning them, people turn to religion like
never before. Some landlords realize that they can get money out
of this chaos and despair. And with the number of saints existing in
Brazil, there’s no shortage of opportunities. But that’s without counting
on God’s Angels, a band of orphan bikers led by Father Nosso,
whose mission it is to recover an icon capable of bringing rain back to
their land. The only problem is that the icon is in the hands of a very
sadistic landlord who has the habit of chopping off the heads of his
enemies and sending them up in the air tied to balloons.
Here’s another oddity we picked up from our friends at Blood Window,
the Latin-American genre bonanza. Holy Biker, the first feature
by Homero Olivetto, exudes despair and arid dust from each shot,
following into Mad Max’s footsteps and reinventing the western for
the new age. This post-apocalyptic Easy Rider from Brazil will make
you believe in miracles."
2017,movie ,7th Orbit Competition,,HYPERSOMNIA,Gabriel Grieco,2016,Argentina,International,7th Orbit Competition,"Jimena Baron, Peter Lanzani, Yamila
Saud, Gerardo Romano, Fabiana Cantilo,
Nazareno Casero, Belen Chavanne, Chucho
Fernandez",,,,,,,90',"Mystery, Horror, Fantasy",Gabriel Grieco,,OK,"https:,,www.imdb.com,title,tt5786588,?ref_=nv_sr_srsg_0",,,,,"It’s hard to break through when you’re a young aspiring actress
and you’re more judged by your looks than by your talents. That’s
something beautiful Milena experiences every day. She wants to be
more than eye-candy and is willing to go far. That’s how she gets the
lead in a play by a director who uses some very unconventional methods.
He wants her to go deep and strip herself bare from the inside
and the outside until she’s naked on the scene. The first rehearsals
start and Milena finds herself slipping into a trance. She awakes in an
underground labyrinth together with other woman who are forced to
please the perverted desires of their clients. Is this dream or reality?
When it happens again and again, Milena finds it increasingly harder
to distinguish between the two. It gets even stranger when people
from one “reality” start popping up in the other.
After the well-received Still Life from 2014, Gabriel Grieco surprises us
with a work of incredible visual magnetism, Hypersomnia is a patchwork
inspired by Suspiria, Black Swan and Sucker Punch, balancing
between schizophrenia, horror and perversion. Debuting actress
Yamila Saud carries us away on a trip through a surreal nightmare
which would turn anyone insane."
2017,movie ,7th Orbit Competition,,INTERCHANGE,Dain Iskander Said,2016,"Malaysia , Indonesia",Belgian,7th Orbit Competition,"Prisia Nasution, Iedil Putra, Shaheizy
Sam, Nadiya Nisaa, Alvin Wong, Nicholas
Saputra",,,,,,,102',"Thriller, Fantasy",Dain Iskander Said,,OK,"https:,,www.imdb.com,title,tt5885886,?ref_=nv_sr_srsg_0",,,,,"Emotionally distraught and experiencing strange hallucinations
after witnessing the aftermath of a bizarre murder, forensics photographer
Adam retreats from the world, until detective Man arrives
at his doorstep. Another murder has occurred, one with undeniable
similarities to the one that pushed Adam over the edge. Adam’s help
is required to unravel the mystery. It revolves around corpses drained
of blood, impossible feathers and antique photographs that appear
to capture Adam’s beautiful new neighbor Iva decades before she
could have been alive. As Adam is drawn further into Iva’s tribal
world and Man delves deeper into his investigation, they discover
the city’s mystical underbelly of shamans and supernatural beings
as century-old superstitions come to life.
Interchange is a supernatural thriller with a Seven-like atmosphere
that comes straight from James Wan’s native country! But the undeniable
added value that director Dain Said brings is the rehabilitation
of spirituality and shamanic rites that transcends the morbid
investigation and points to a single culprit: 21st century modernity
which, in the name of progress, has swept away a cultural heritage.
The cinematography is as hypnotic as it is vertiginous and brilliantly
calls the narrow-mindedness of modern man into question."
2017,movie ,7th Orbit Competition,,SAVING SALLY,Avid Liongoren,2016,Philippines,Belgian,7th Orbit Competition,"Rhian Ramos, Enzo Marcos, T.J. Trinidad,
Archie Adamos, Shamaine Buencamino",,,,,,,94',"Animation, Drama, Fantasy",Avid Liongoren,,OK,"https:,,www.imdb.com,title,tt5569560,?ref_=nv_sr_srsg_0",,,,,"Some see dead people, others have visions, but Marty sees monsters
all over the place. Small, big, hideous or stylish, they all seem
to come straight out of a comic book to populate the universe of this
teenager with an overactive imagination. At least they’re harmless.
Not like those bullies who put geeky Marty through the wringer every
day at school. Until the moment when beautiful Sally comes to his
rescue. They become inseparable, exchanging everything… except
bodily fluids. Of course Marty falls in love with Sally, but he doesn’t
dare to tell her for fear of breaking up these unique moments they
spent together. Of course, our poor guy ends up being “friendzoned”
by Sally. Marty’s alone again with his monsters, while his beautiful
Sally, even under the constant supervision of her tyrannical parents,
gets seduced by the kind of alpha male against whom Marty doesn’t
stand a chance. Unless…
It took director Avid Liongoren more than ten years to complete his
project and the result is amazing. Mixing real shots with CGI animation,
Saving Sally is an inventive re-reading of the concept “will they
get together or not?” Visually bluffing and incredibly poetic, this
modern tale owes much to the magnetic presence of Rhian Ramos,
which we could already see at the BIFFF in Yam Laranas’ The Road."
2017,movie ,"7th Orbit Competition, Critics Selection",,SPIT'N'SPLIT,Jerome Vandewattyne,2017,Belgium,World,"7th Orbit Competition, Critics Selection","Jérémy Alonzi, Jean-Jacques Thomsin,
David D’Inverno, Allan Snon Steffler, Rémy S.
Legrand, Bouli Lanners",,,,,,,87',"Drama, Documentary, Comedy",Jerome Vandewattyne,,OK,"https:,,www.imdb.com,title,tt6675428,?ref_=ttawd_awd_tt",,,,,"Nothing could be cooler than a rock-band on tour. Hordes of
screaming fans who want to give up their virginity for an autograph,
free drugs in all sizes, colors and kicks, luxury hotels that loose a star
after our rock gods have passed through it like a tornado and sold
out theaters and stadiums. The members of The Experimental Tropic
Blues Band would give up one of their balls to be able to experience
that one day. Everything’s better than these endless trips on the road
in a tour bus that should have fallen apart decades ago, cabinets
filled with aspirin to battle cheap beer hangovers, dark and smelly
theaters with clogged toilets and a few lost spectators, getting paid
in candy bars and not one horny groupie in sight. It certainly can’t
get any worse than that? Just wait and see!
This mind boggling road trip is at the same time a monument of punk
poetry and an ode to disgust. This tour the force is the brainchild of
young underground movie-maker Jérôme Vandewattyne. For two
years his camera followed up The Experimental Tropic Blues Band so
close and personal that truth and fiction ended up in a fistfight. Spit
‘N’ Split enthusiastically defies any form of classification. It’s pretty.
It’s ugly. It’s loud, dirty and raw. It’s true and it’s fake. In order words:
bloody well done!"
2017,movie ,7th Orbit Competition,,SWISS ARMY MAN,"Dan Kwan, Daniel Scheinert",2016,USA,Belgian,7th Orbit Competition,"Daniel Radcliffe, Mary Elizabeth
Winstead, Paul Dano, Timothy Eulich,
Richard Gross, Shane Carruth",,,,,,,97',"Drama, Fantasy, Comedy","Dan Kwan, Daniel Scheinert",,OK,"https:,,www.imdb.com,title,tt4034354,?ref_=nv_sr_srsg_0",,,,,"Hank is at the end of his tether. Shipwrecked all alone on an island,
he’s about to end it all. But just before he tightens the noose, the sea
vomits a corpse onto the shore. Hank approaches his new companion,
who constantly releases voluminous quantities of “methane” in
the atmosphere. This gives him a brilliant idea. He can use the farts
propelled stiff to finally get off this damn island. Even better, once
across, the dead guy becomes quite talkative. Hank decides to call
him Manny. And that’s the start of a long journey back to civilization,
where Manny will be used as a Swiss army knife to solve all the
obstacles this extraordinary duo will find on its path.
Swiss Army Man has conquered as many festivals as it has divided
critics. One thing is certain. This is one of the most original films of
the 21st century, with already a dozen international awards and as
many nominations under its belt. The feature debut of video-clip
and publicity spot directors Daniel Kwan and Daniel Scheinert is a
constant balance between organic vulgarity and existential poetry.
With Paul Dano (Little Miss Sunshine, Looper, Prisoners) as Hank and
Daniel Radcliffe (Harry Potter, The Woman in Black, Horns) in the
performance of a lifetime as Manny."
2017,movie ,7th Orbit Competition,,THIS GIANT PAPIER-MACHE BOULDER IS ACTUALLY REALLY HEAVY,Christian Nicolson,2016,New Zealand,Belgian,7th Orbit Competition,"Christian Nicolson, Sez Niederer,
Lewis Roscoe, Daniel Pujol, Joseph Wycoff,
Luci Hare, Lucinda Hare, Jay Simon",,,,,,,112',"Comedy, Adventure, Action",Christian Nicolson,,OK,"https:,,www.imdb.com,title,tt4231486,?ref_=nv_sr_srsg_0",,,,,"For Tom and Gavin there are better things to do than spending
their Friday evening at a crappy scifi convention. But seeing the
excitement of their friend Jeffrey, who was already wetting his pants
at the thought of making a selfie with an extra from an old Tv-show,
they just couldn’t resist. And here they are, wandering among ubergeeks,
while reflecting on their apparent inability to become adults.
But as they enter an obscure room where the mythical “Space Warriors
from Space” is being screened, our three friends are mysteriously
isucked into this Z-movie. Their reality is now one of black and white
characters, cheap animatronics and green key effects and bad lipsynch.
Tom and Gavin are trying to remain sane, but Jeffrey now
thinks he’s a space hero, answering to the manly name of Kasimir.
The only question that remains is how they’re going to make it to the
end credits, because where there’s a hero, there must also be a villain.
The title alone is already enough to make any geek/nerd go into drool
overdose mode. Christian Nicolson’s first feature is chock-a-block
with references to TV-shows from the 60ties, 70ties and 80ties and
those kinds of movies that switch from B to Z in a flash. It’s a labor of
love where every detail matters, where you discover three great ideas
per minute and where the lack of means is the main asset! This Giant
etc… is a must-see for every self-respecting fanboy and fangirl."
2017,movie ,7th Orbit Competition,,THE UNKINDNESS OF RAVENS,Lawrie Brewster,2016,"UK , USA , United Arab Emirates",European,7th Orbit Competition,"Jamie Scott Gordon, Daniel Casey,
Dougie Clark, Amanda Gilliland, Michael
Brewster, Benjamin Ferguson, David Izatt,
Keith Robson, D.T. Wilson",,,,,,,85',"Drama, Horror",Lawrie Brewster,,OK,"https:,,www.imdb.com,title,tt5127192,?ref_=nv_sr_srsg_0",,,,,"Like any good veteran, Andrew had the misfortune to swap his
life at the patriotic pawnshop for a return without flags or trumpets.
His post-traumatic stress disorder has turned him into a homeless
wanderer on the streets of Edinburgh. Unable to digest the horrors he
saw during the war, Andrew compensates his existential constipation
by an exacerbated phobia of crows. Encouraged by his social worker,
he decides to go green in a cottage lost in the Scottish highlands.
But without any rational compass at hand, Andrew is now helpless
against his inner demons, who do not deprive themselves of tampering
with his subconscious to make his paranoid valve explode. Faced
with his worst fears, Andrew has no choice but to ask the questions
he has always avoided.
Considered one of the ten best independent films of the year by
Bloody Disgusting, Lawrie Brewster’s new film (already guilty as
charged for Lord of Tears, presented at the BIFFF 2014) relies on Celtic
mythologies to bring forth a unique genre nightmare. The thrilling
and incredibly immersive The Unkindness of Ravens, could well be
the bastard child of The Wicker Man and Hellraiser!"
2017,movie ,"International Thriller Competition, Critics Selection",,AT THE END OF THE TUNNEL,Rodrigo Grande,2016,"Argentina , Spain",Belgian,"International Thriller Competition, Critics Selection","Leonardo Sbaraglia, Clara Lago, Pablo
Echarri, Federico Luppi, Uma Salduende,
Walter Donado",,,,,,,120',"Crime, Drama, Thriller",Rodrigo Grande,,OK,"https:,,www.imdb.com,title,tt5133308,?ref_=nv_sr_srsg_0",,,,,"Chained to his wheelchair, Joaquin leads a solitary life in a huge
house in Buenos Aries. He has a dying dog and lots of debts. We
don’t have to mention that Joaquin isn’t exactly a very cheerful guy.
This doesn’t stop the delicious stripper Berta from wanting to rent
the upper floor of Joaquin’s house for herself and her daughter Betsy.
Joaquin realises he has to do something before the tax man comes
knocking on his door and accepts the young mother’s offer. While
Joaquin is cultivating his misanthropy in his basement, he starts hearing
voices coming from behind the cellar walls. Curious by what he
hears through a cheap stethoscope, he develops a spy system by
placing camera’s in the wall. He discovers that a gang of thieves is
digging a tunnel to rob the bank on the other side of the street and
this tunnel is right beneath his cellar!
Rodrigo Grande’s latest thriller is a bit like the cinematographic equivalent
of a sauna: you’ll sweat bucket-loads of tension, but you’ll come
out revived! This masterpiece brings together the talent of Federico
Luppi (Chronos), Leonardo Sbaraglia (Wild Tales) and Clara Lago (The
End, BIFFF 2013) and is very generous with its references (The Maltese
Falcon, The Great Escape). It certainly didn’t steal its reputation as an
Argentinian box-office hit."
